deployment_id,deployment_type,workload_type,cpu_cores,memory_gb,cpu_utilization,memory_utilization,startup_time_seconds,overhead_factor,datacenter_location,pue,renewable_energy_pct,deployment_duration_hours,auto_scaling_enabled,scale_events_per_day,network_io_gbps,storage_io_iops,storage_type,energy_consumption_kwh,carbon_emissions_kg_co2eq,resource_efficiency_score,month_deployed,cost_per_hour_usd
deploy_00000,container,web_service,32,16,0.674,0.54,4.45,0.028,US_West,1.33,0.267,6451.75,True,3.0,0.418,5945.9,ssd,3491.1974,767.2869,72.35,1,1.795
deploy_00001,vm,batch_processing,1,64,0.414,0.449,28.6,0.126,US_East,1.23,0.369,3013.71,False,0.0,0.43,,nvme,361.9319,88.68,56.27,8,0.721
deploy_00002,vm,streaming,32,32,0.581,0.27,25.22,0.087,US_West,1.24,0.378,1836.07,False,0.0,2.451,7048.0,nvme,949.571,177.2937,58.75,11,2.0025
deploy_00003,container,microservice,16,32,0.697,0.54,0.64,0.027,US_West,1.34,0.592,3466.34,False,0.0,0.406,1514.4,ssd,1238.0658,151.6956,73.27,4,1.1912
deploy_00004,vm,api_gateway,16,128,0.24,0.545,13.25,0.157,Nordic,1.2,0.289,,True,6.0,3.027,6834.8,ssd,1560.9268,111.0505,51.2,11,2.1463
deploy_00005,container,database,4,4,0.479,0.9,1.98,0.044,Nordic,1.28,0.815,8080.6,True,4.0,0.446,6029.6,hdd,465.5168,8.6063,74.84,1,0.3094
deploy_00006,container,ml_training,16,64,0.772,0.9,0.52,0.062,US_West,1.39,0.797,6616.37,True,4.0,1.644,7158.2,hdd,3016.7263,184.0036,86.03,11,1.5274
deploy_00007,container,ml_training,32,128,0.95,0.798,1.62,0.046,US_West,1.42,0.504,6336.85,False,0.0,0.26,2505.7,hdd,7122.5769,992.72,90.55,7,2.9071
deploy_00008,vm,database,4,128,0.367,0.38,41.23,0.194,US_West,1.34,0.756,661.3,True,4.0,10.045,600.8,nvme,185.6255,13.5953,50.27,1,1.5281
deploy_00009,vm,database,2,16,0.1,0.9,27.76,0.182,US_West,1.34,0.827,5074.04,True,3.0,0.297,7505.0,ssd,171.8783,8.9446,55.53,1,0.3235
deploy_00010,vm,cache_service,4,16,0.339,0.9,50.7,0.31,US_West,1.32,0.602,2752.94,False,0.0,0.629,4018.3,nvme,227.959,27.1982,61.28,11,0.4033
deploy_00011,vm,cache_service,1,16,0.193,0.754,23.93,0.224,Canada,1.28,0.178,7692.51,False,0.0,1.008,1242.7,ssd,231.6074,28.568,53.64,12,0.2203
deploy_00012,vm,database,32,128,0.1,0.57,13.19,0.236,Nordic,1.18,0.629,4913.98,True,7.0,0.2,844.9,nvme,1801.5086,66.7908,44.03,3,2.9602
deploy_00013,vm,database,2,4,0.333,0.567,27.46,0.185,Australia,1.48,0.708,7721.32,True,6.0,0.3,1875.7,hdd,293.1423,55.5625,54.78,7,
deploy_00014,container,api_gateway,4,16,0.743,0.325,5.91,0.052,Australia,1.35,0.152,6774.57,False,0.0,0.428,6450.7,hdd,802.177,476.1355,67.91,11,0.416
deploy_00015,container,ml_training,1,64,0.824,0.547,3.61,0.051,US_East,1.45,0.49,7065.23,True,4.0,0.254,3705.8,ssd,1353.8142,276.2104,77.83,11,0.7673
deploy_00016,vm,api_gateway,16,1,0.523,0.138,52.49,0.309,EU_Central,1.6,0.315,3766.39,False,0.0,0.615,4703.4,hdd,1274.3916,305.4527,45.76,11,
deploy_00017,container,streaming,16,2,0.67,0.397,1.79,0.074,Asia_Pacific,1.55,0.411,5517.11,True,4.0,1.561,7211.6,hdd,1819.0548,609.7895,66.48,8,0.8409
deploy_00018,vm,cache_service,16,32,0.331,0.9,39.43,0.103,Australia,1.33,0.769,5367.22,False,0.0,2.677,8322.6,nvme,1249.1627,189.8829,67.16,8,1.1588
deploy_00019,container,database,2,64,0.617,0.773,3.65,0.058,Canada,1.34,0.215,1875.01,False,0.0,0.272,,nvme,324.8591,36.348,76.13,8,0.8358
deploy_00020,container,streaming,2,16,0.414,0.505,1.34,0.048,Asia_Pacific,1.53,0.464,3407.0,False,0.0,1.514,7269.4,hdd,200.3023,64.3894,60.24,3,0.3492
deploy_00021,vm,ml_training,1,128,,,31.5,0.316,US_East,1.26,0.662,457.22,False,0.0,0.95,2319.8,ssd,198.2069,26.8159,78.12,11,1.4267
deploy_00022,container,ml_training,1,1,0.686,0.9,0.57,0.029,EU_Central,1.4,0.532,7954.4,False,0.0,0.715,4026.9,nvme,151.7478,24.8644,83.59,4,0.1155
deploy_00023,vm,streaming,1,64,0.691,0.544,92.84,0.194,EU_Central,1.3,0.577,7259.65,True,6.0,3.208,4411.3,nvme,1268.0409,187.8716,68.14,9,0.7418
deploy_00024,vm,data_processing,1,128,0.275,0.587,33.86,,Australia,1.46,0.344,4271.45,False,0.0,3.701,7998.5,hdd,1065.4259,489.4221,50.07,5,1.3484
deploy_00025,container,ml_training,32,32,0.95,0.686,1.54,0.078,Asia_Pacific,1.55,0.515,3011.97,False,0.0,2.161,3582.9,hdd,2643.6473,769.1353,86.24,5,2.0182
deploy_00026,vm,microservice,4,4,0.347,0.9,50.02,0.306,EU_Central,1.45,,4679.49,False,0.0,1.417,550.6,ssd,327.1036,101.8228,61.7,9,0.2559
deploy_00027,container,database,2,16,0.48,0.69,0.8,0.02,US_East,1.35,0.845,1038.52,False,0.0,1.131,6102.5,nvme,56.4288,3.4887,69.27,4,0.2773
deploy_00028,container,database,1,64,0.779,0.509,1.51,0.042,Asia_Pacific,1.51,0.617,4116.96,True,3.0,10.387,2391.6,nvme,781.8012,179.6446,75.19,5,0.7064
deploy_00029,vm,ml_training,8,2,0.723,,12.23,0.098,Asia_Pacific,1.5,0.617,6129.97,False,0.0,0.376,5054.7,hdd,1106.7776,233.0211,80.19,8,0.4336
deploy_00030,vm,cache_service,32,128,0.304,0.1,49.64,0.215,EU_Central,1.31,0.236,5127.9,False,0.0,0.082,,hdd,3083.0039,760.9392,38.72,6,2.9595
deploy_00031,container,cache_service,8,64,0.292,0.9,1.36,0.085,US_East,1.44,,3169.83,False,0.0,0.151,6291.5,ssd,,188.1712,66.1,4,1.1257
deploy_00032,container,database,8,16,0.584,0.9,2.13,0.071,Nordic,1.13,0.629,3640.28,False,0.0,0.147,9804.4,ssd,494.3693,17.5443,78.22,8,0.5969
deploy_00033,vm,database,8,128,0.643,0.694,26.04,0.125,EU_Central,1.32,0.349,6683.0,False,0.0,0.154,4607.9,hdd,2806.119,639.0501,72.76,4,1.7768
deploy_00034,vm,batch_processing,8,2,0.12,0.484,21.73,0.21,Nordic,1.21,0.783,135.43,True,3.0,33.852,4158.8,nvme,9.4161,0.2045,43.01,3,0.4787
deploy_00035,container,ml_training,2,2,0.914,,3.14,0.052,Asia_Pacific,1.57,0.834,6661.08,True,8.0,0.482,4492.4,nvme,350.8505,34.9966,92.0,5,0.1517
deploy_00036,container,microservice,8,16,0.415,0.602,0.57,0.041,Asia_Pacific,1.44,0.291,83.31,False,0.0,3.577,9022.0,nvme,12.5349,5.3286,63.42,9,0.6217
deploy_00037,vm,web_service,32,64,0.249,0.558,43.21,0.225,EU_Central,1.29,0.106,7578.13,True,7.0,3.725,9115.1,nvme,3723.964,1077.7714,49.98,8,
deploy_00038,vm,web_service,16,32,0.306,0.328,68.21,0.221,Canada,1.38,0.199,7968.43,False,0.0,1.032,7500.1,ssd,2099.8329,252.4339,45.46,4,1.2167
deploy_00039,container,api_gateway,16,32,0.629,0.386,1.98,0.045,US_East,1.34,0.693,,True,9.0,0.35,4602.4,nvme,42.537,5.2234,65.42,12,1.2118
deploy_00040,vm,batch_processing,2,1,0.1,0.9,64.67,0.134,US_East,1.37,0.328,4315.9,True,4.0,0.522,2424.5,nvme,79.2616,21.2969,56.98,3,0.1821
deploy_00041,vm,microservice,4,2,0.301,0.436,12.12,0.27,Canada,1.11,0.376,7898.96,False,0.0,0.121,699.4,hdd,362.1059,33.9202,47.01,4,0.2799
deploy_00042,container,data_processing,2,1,0.608,,,0.009,EU_Central,1.51,0.744,1268.32,True,3.0,0.359,5448.1,ssd,44.7728,4.0147,75.86,2,0.1662
deploy_00043,container,web_service,32,16,0.576,0.743,3.13,0.065,Asia_Pacific,1.49,0.583,273.85,False,0.0,1.827,8488.3,hdd,156.4769,39.1969,73.38,11,1.8155
deploy_00044,container,cache_service,32,8,0.394,0.9,1.26,0.051,Asia_Pacific,1.6,0.439,2002.38,False,0.0,2.035,8291.5,hdd,1010.1414,323.6801,71.22,7,1.6954
deploy_00045,vm,batch_processing,8,32,0.95,0.707,39.75,0.372,Australia,1.37,0.599,6572.74,True,3.0,26.701,9687.1,nvme,2199.2809,617.3298,78.05,5,0.8037
deploy_00046,container,ml_training,1,4,0.733,0.714,2.37,0.038,EU_Central,,0.627,2707.4,False,0.0,0.066,3575.1,ssd,76.346,9.9663,79.57,3,0.1076
deploy_00047,container,web_service,32,2,0.241,0.612,5.54,0.032,EU_Central,1.4,0.432,,False,0.0,0.138,,ssd,1216.401,241.678,57.03,9,1.653
deploy_00048,container,streaming,32,64,0.95,0.821,,,US_West,1.33,0.197,4665.89,True,7.0,0.193,5052.6,nvme,3996.5907,,91.41,6,2.3221
deploy_00049,vm,batch_processing,8,2,0.683,0.9,82.4,0.225,US_West,1.25,0.427,3508.54,True,5.0,2.545,4018.1,hdd,520.5503,89.5205,77.58,12,0.4478
deploy_00050,container,database,32,128,0.24,0.9,0.86,0.055,Asia_Pacific,1.7,0.666,6656.76,False,0.0,1.188,6843.2,nvme,4124.5805,826.9758,64.96,11,2.8951
deploy_00051,container,batch_processing,16,64,0.95,0.877,2.97,0.073,Asia_Pacific,1.48,0.535,8359.11,True,1.0,4.295,4552.4,nvme,,1310.2593,92.11,11,1.4972
deploy_00052,vm,data_processing,4,64,0.734,0.881,40.44,0.165,Asia_Pacific,1.47,0.681,5947.47,True,1.0,0.075,7913.3,nvme,1676.2737,297.5206,80.82,6,0.9129
deploy_00053,container,ml_training,16,64,0.95,0.878,1.78,0.08,Canada,1.26,0.694,7123.69,True,7.0,1.779,6495.6,hdd,3435.574,157.8235,91.94,9,
deploy_00054,vm,database,16,64,0.309,0.1,35.09,0.193,US_West,1.29,0.222,7282.75,True,2.0,0.893,7239.7,ssd,2107.1073,477.1107,39.59,7,1.5013
deploy_00055,vm,api_gateway,16,64,0.257,0.16,66.77,0.364,US_West,1.27,0.713,7019.23,True,2.0,0.451,8742.7,ssd,2145.4421,184.936,34.16,11,1.5235
deploy_00056,container,api_gateway,1,64,0.393,0.408,1.19,0.029,Nordic,1.21,0.38,3383.43,True,4.0,0.033,3811.6,ssd,395.2155,,57.1,6,0.723
deploy_00057,vm,batch_processing,4,8,0.785,0.8,15.1,0.156,EU_Central,1.23,,2089.49,False,0.0,35.206,721.8,hdd,191.3502,54.1549,80.7,10,0.339
deploy_00058,container,api_gateway,8,1,0.47,0.352,4.63,0.006,Canada,1.31,0.39,3270.76,True,5.0,1.595,3635.2,ssd,358.4397,32.0967,59.2,6,0.4364
deploy_00059,vm,web_service,4,8,0.26,0.21,13.19,0.217,US_East,1.49,0.693,7759.64,False,0.0,4.87,9340.4,nvme,548.1645,63.2523,40.15,7,0.3705
deploy_00060,container,streaming,32,128,0.523,0.629,2.81,0.08,EU_Central,1.4,0.793,4549.34,True,3.0,4.012,7298.1,ssd,3680.3347,,67.38,7,2.9217
deploy_00061,vm,web_service,1,64,0.1,0.499,12.68,0.163,EU_Central,1.29,0.485,6569.36,True,,0.023,9532.6,ssd,520.5772,93.8678,44.07,10,0.7124
deploy_00062,vm,ml_training,2,2,0.932,0.762,60.16,0.193,US_East,1.34,0.652,4372.13,False,0.0,3.105,9144.1,ssd,226.7155,31.5809,84.32,5,0.2171
deploy_00063,vm,batch_processing,16,16,0.748,0.342,76.26,0.363,EU_Central,,0.739,6235.74,True,4.0,0.087,7957.6,nvme,2879.2758,263.504,59.27,4,1.0347
deploy_00064,vm,batch_processing,2,32,0.601,0.669,18.51,0.128,Canada,1.14,0.156,4081.23,False,0.0,1.494,1370.5,nvme,354.0821,44.8468,70.25,11,0.4556
deploy_00065,container,cache_service,4,4,0.603,0.738,0.66,0.033,Canada,1.21,,4673.73,True,4.0,5.257,5958.9,nvme,287.2641,28.9942,75.29,3,
deploy_00066,vm,ml_training,8,8,0.95,0.443,23.27,0.395,Australia,1.51,0.706,3557.96,False,0.0,0.737,822.4,ssd,981.9019,202.4108,69.45,3,0.532
